name,size
prabowo,6
jokowi,7
hatta,10
tidak,-2
debat,7
ham,-7
prabowo08,20
capres,7
jk,6
presiden,12
soal,0
debatcapres,0
pilih,16
pertanyaan,-6
indonesia,15
1,8
orang,-3
bilang,-3
dukung,9
atasan,0
tanya,-5
detikcom,-5
kalla,13
hukum,-10
bapak,12
ernestprakasa,-7
korupsi,-80
pemimpin,8
rakyat,17
cawapres,16
subianto,24
vs,15
jawab,8
bicara,5
setuju,17
jawaban,8
pejabat,-54
hattarajasa,19
has,20
demokrasi,36
been,27
malam,15
chirpified,27
pilihankusatu,16
hidup,-8
calon,12
kelihatan,-1
seorang,6
kecil,-31
pendukung,3
